id,category,item,specification,quantity,required,evidence,source
P01,printed part,anti_slip_ring,TPU 95A; exact file 3MF/anti_slip_ring.3mf,1,yes,VERIFIED_DIGITALLY,this release
P02,printed part,outer_shell,ASA; exact file 3MF/outer_shell.3mf,1,yes,VERIFIED_DIGITALLY,this release
P03,printed part,main_cabinet,ASA; exact file 3MF/main_cabinet.3mf,1,yes,VERIFIED_DIGITALLY,this release
P04,printed part,pressure_divider,ASA; exact file 3MF/pressure_divider.3mf,1,yes,VERIFIED_DIGITALLY,this release
P05,printed part,electronics_shroud,ASA; exact file 3MF/electronics_shroud.3mf,1,yes,VERIFIED_DIGITALLY,this release
P06,printed part,active_driver_clamp_ring,ASA; exact file 3MF/active_driver_clamp_ring.3mf,1,yes,VERIFIED_DIGITALLY,this release
P07,printed part,passive_radiator_clamp_ring,ASA; exact file 3MF/passive_radiator_clamp_ring.3mf,2,yes,VERIFIED_DIGITALLY,this release
P11,printed part,cable_gland,TPU 95A; exact file 3MF/cable_gland.3mf,1,yes,VERIFIED_DIGITALLY,this release
P12,service tool,leak_test_adapter,TPU 95A; exact file 3MF/leak_test_adapter.3mf,1,yes,VERIFIED_DIGITALLY,this release
P13,printed part,base_skirt,ASA; exact file 3MF/base_skirt.3mf,1,yes,VERIFIED_DIGITALLY,this release
P14,printed part,bottom_service_plate,ASA; exact file 3MF/bottom_service_plate.3mf,1,yes,VERIFIED_DIGITALLY,this release
P15,printed part,ballast_cartridge,ASA; exact file 3MF/ballast_cartridge.3mf,1,yes,VERIFIED_DIGITALLY,this release
P16,printed part,ballast_cartridge_lid,ASA; exact file 3MF/ballast_cartridge_lid.3mf,1,yes,VERIFIED_DIGITALLY,this release
P17,calibration part,coupon_official_interface,ASA; exact file 3MF/coupon_official_interface.3mf,1,yes,VERIFIED_DIGITALLY,this release
P18,calibration part,coupon_active_driver,ASA; exact file 3MF/coupon_active_driver.3mf,1,yes,VERIFIED_DIGITALLY,this release
P19,calibration part,coupon_passive_radiator,ASA; exact file 3MF/coupon_passive_radiator.3mf,1,yes,VERIFIED_DIGITALLY,this release
P20,calibration part,coupon_heat_set_insert,ASA; exact file 3MF/coupon_heat_set_insert.3mf,1,yes,VERIFIED_DIGITALLY,this release
P21,calibration part,coupon_gasket_base,ASA; exact file 3MF/coupon_gasket_base.3mf,1,yes,VERIFIED_DIGITALLY,this release
P22,calibration part,coupon_gasket_cap,ASA; exact file 3MF/coupon_gasket_cap.3mf,1,yes,VERIFIED_DIGITALLY,this release
P23,calibration part,coupon_cable_passage,ASA; exact file 3MF/coupon_cable_passage.3mf,1,yes,VERIFIED_DIGITALLY,this release
A01,active driver,Dayton Audio ND91-4,4 ohm full-range driver; manufacturer model ND91-4,1,yes,DERIVED_FROM_MANUFACTURER_DRAWING,references/manufacturer/Dayton_ND91-4_spec_2026-02-26.pdf
A02,passive radiator,SB Acoustics SB12PACR-00,4 inch aluminum passive radiator with M6 mass post,2,yes,DERIVED_FROM_MANUFACTURER_DRAWING,references/manufacturer/SB_Acoustics_SB12PACR-00.pdf
E01,official electronics,FutureProofHomes Satellite1 Batch 1 development kit,Core rev4.1 + HAT rev4.1 / R2024.12.06; not Satellite1.1,1,yes,DERIVED_FROM_OFFICIAL_CAD,reference-assets/MANIFEST.csv
H01,insert,CNC Kitchen M3 x 5.7 heat-set insert,"M3x0.5 internal thread, 5.7 mm length, 4.6 mm maximum OD",48,yes; includes four spares,DERIVED_FROM_MANUFACTURER_DRAWING,CNCKitchen M3 x 5.7 standard insert
H02,speaker cable,2-pin JST-XH 2.54 mm speaker lead,"22 AWG stranded red/black, each insulated conductor OD <=1.8 mm, 350 mm minimum",1,yes,DERIVED_FROM_OFFICIAL_CAD,official Squircle enclosure documentation
H03,speaker terminals,2.8 mm fully insulated female quick-disconnects,for 22-18 AWG wire; verify fit on the purchased ND91-4 before crimping,2,recommended; direct solder is acceptable,ENGINEERING_ESTIMATE,builder supplied
B01,ballast,mild-steel plate,"100 x 112 x 5 mm, edges deburred, dry, light oil removed",2,yes,ENGINEERING_ESTIMATE,local metal supplier
B02,radiator tuning,M6 stainless flat washers,identical stacks totaling 0.78 g per radiator,2 matched stacks,yes; final mass requires physical tuning,ENGINEERING_ESTIMATE,weigh on 0.01 g scale
G00,gasket stock,closed-cell EPDM foam sheet,"2.0 mm nominal, soft, smooth skin, ASTM D1056 2A1 or equivalent",one 300 x 300 mm sheet,yes,ENGINEERING_ESTIMATE,industrial rubber supplier
D01,optional acoustic material,polyester acoustic batting,not installed in RC1; reserve for measurement-led development only,0,no,REQUIRES_PHYSICAL_VALIDATION,not applicable
O01,official printed part,official_mid_plate,ASA (PETG alternative); exact file OFFICIAL_PARTS/REQUIRED_SINGLE_MATERIAL/official_mid_plate.stl; preserved official STL,1,yes,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Mid-Plate/Mid-Plate.stl
O02,official printed part,official_mid_plate_threads,ASA (PETG alternative); exact file OFFICIAL_PARTS/REQUIRED_SINGLE_MATERIAL/official_mid_plate_threads.stl; preserved official STL,1,yes,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Mid-Plate/Mid-Plate Threads.stl
O03,official printed part,official_pcb_spacer,ASA (PETG alternative); exact file OFFICIAL_PARTS/REQUIRED_SINGLE_MATERIAL/official_pcb_spacer.stl; preserved official STL,1,yes,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Squircle Top/PCB Spacer.stl
O04,official printed part,official_lock_ring,ASA (PETG alternative); exact file OFFICIAL_PARTS/REQUIRED_SINGLE_MATERIAL/official_lock_ring.stl; preserved official STL,1,yes,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Squircle Top/Lock Ring.stl
O05,official printed part,official_top_plate,ASA (PETG alternative); exact file OFFICIAL_PARTS/REQUIRED_SINGLE_MATERIAL/official_top_plate.stl; preserved official STL,1,yes,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Squircle Top/Top Plate.stl
O06,official printed part,official_top_plate_snap_in_diffuser_ring,ASA (PETG alternative); exact file OFFICIAL_PARTS/REQUIRED_SINGLE_MATERIAL/official_top_plate_snap_in_diffuser_ring.stl; preserved official STL,1,yes,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Squircle Top/Top Plate Snap-In Diffuser Ring.stl
O07,official printed part,official_top_plate_mm_buttons,ASA (PETG alternative); exact file OFFICIAL_PARTS/OPTIONAL_MULTI_MATERIAL/official_top_plate_mm_buttons.stl; preserved official STL,1,optional alternative,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Squircle Top/Top Plate MM Buttons.stl
O08,official printed part,official_top_plate_mm_diffuser_ring,ASA (PETG alternative); exact file OFFICIAL_PARTS/OPTIONAL_MULTI_MATERIAL/official_top_plate_mm_diffuser_ring.stl; preserved official STL,1,optional alternative,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Squircle Top/Top Plate MM Diffuser Ring.stl
F01,fastener,M3 x 6 socket cap screw,"ISO 4762, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier
F02,fastener,M3 x 8 button head screw,"ISO 7380-1, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier
F03,fastener,M3 x 10 socket cap screw,"ISO 4762, A2-70 stainless, M3x0.5",8,yes,VERIFIED_DIGITALLY,industrial fastener supplier
F04,fastener,M3 x 10 socket cap screw,"ISO 4762, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier
F05,fastener,M3 x 10 socket cap screw,"ISO 4762, A2-70 stainless, M3x0.5",8,yes,VERIFIED_DIGITALLY,industrial fastener supplier
F06,fastener,M3 x 8 button head screw,"ISO 7380-1, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier
F07,fastener,M3 x 10 socket cap screw,"ISO 4762, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier
F08,fastener,M3 x 8 button head screw,"ISO 7380-1, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier
F09,fastener,M3 x 8 button head screw,"ISO 7380-1, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier
